1	n-m	awb	ʼâb	heb	- אָב	a primitive word;		◊meaning:	- def: father	- ', in a literal and immediate, or figurative and remote application'	usage: chief, (fore-) father(-less), × patrimony, principal. Compare names in	  'Abi-'.																																						
2	n-m	ab	ʼab	arc	- אַב	- (Aramaic) corresponding to	  - '@src': H1	  - '1'	usage: father.																																									
1214	v	baw-tsah'	bâtsaʻ	heb	- בָּצַע	a primitive root		◊meaning:	- to	- def: break	- off, i.e. (usually)	- def: plunder	- ; figuratively, to	- def: finish	- ', or (intransitively)'	- def: stop	usage: (be) covet(-ous), cut (off), finish, fulfill, gain (greedily), get, be	  given to (covetousness), greedy, perform, be wounded.																																
1215	n-m	beh'-tsah	betsaʻ	heb	- בֶּצַע	- from	  - '@src': H1214	  - '1214'	- ;	◊meaning:	- def: plunder	- ; by extension,	- def: gain	- (usually unjust)	usage: covetousness, (dishonest) gain, lucre, profit.																																			
1216	v	baw-tsake'	bâtsêq	heb	- בָּצֵק	a primitive root;		◊meaning:	- perhaps to	- def: swell up	- ', i.e.'	- def: blister	usage: swell.																																					
1217	n-m	baw-tsake'	bâtsêq	heb	- בָּצֵק	- from	  - '@src': H1216	  - '1216'	- ;	◊meaning:	- def: dough	- (as swelling by fermentation)	usage: dough, flour.																																					
1218	n-pr-loc	bots-cath'	Botsqath	x-pn	- בׇּצְקַת	- from	  - '@src': H1216	  - '1216'	- ; a swell of ground;	◊meaning:	- def: Botscath	- ', a place in Palestine'	usage: Bozcath, Boskath.																																					
1219	v	baw-tsar'	bâtsar	heb	- בָּצַר	- a primitive root; to clip off; specifically (as denominative from	  - '@src': H1210	  - '1210'	- )	◊meaning:	- to	- def: gather grapes	- ; also to	- def: be isolated	- (i.e. inaccessible by height or fortification)	usage: cut off, (de-) fenced, fortify, (grape) gather(-er), mighty things, restrain,	  strong, wall (up), withhold.																																	
1220	n-m	beh'-tser	betser	heb	- בֶּצֶר	- from	  - '@src': H1219	  - '1219'	- ;	◊meaning:	- strictly a	- def: clipping	- ', i.e.'	- def: gold	- (as dug out)	usage: gold defence.																																		
1221	n-pr-m n-pr-loc	beh'-tser	Betser	x-pn	- בֶּצֶר	- the same as	  - '@src': H1220	  - '1220'	- ', an inaccessible spot;'	◊meaning:	- def: Betser	- ', a place in Palestine; also an Israelite'	usage: Bezer.																																					
1222	n-m	bets-ar'	bᵉtsar	heb	- בְּצַר	- another form for	  - '@src': H1220	  - '1220'	- ;	◊meaning:	  def: gold	usage: gold.																																						
1223	n-f	bots-raw'	botsrâh	heb	- בׇּצְרָה	- feminine from	  - '@src': H1219	  - '1219'	- ;	◊meaning:	- an	- def: enclosure	- ', i.e.'	- def: sheep fold	usage: Bozrah.																																			
1224	n-pr-loc	bots-raw'	Botsrâh	x-pn	- בׇּצְרָה	- the same as	  - '@src': H1223	  - '1223'	- ;	◊meaning:	- def: Botsrah	- ', a place in Edom'	usage: Bozrah.																																					
1225	n-m	bits-tsaw-rone'	bitstsârôwn	heb	- בִּצָּרוֹן	- masculine intensive from	  - '@src': H1219	  - '1219'	- ;	◊meaning:	- a	- def: fortress	usage: stronghold.																																					
1226	n-f	bats-tso'-reth	batstsôreth	heb	- בַּצֹּרֶת	- feminine intensive from	  - '@src': H1219	  - '1219'	- ;	◊meaning:	- def: restraint	- (of rain), i.e.	- def: drought	usage: dearth, drought.																																				
1227	n-pr-m	bak-book'	Baqbûwq	x-pn	- בַּקְבּוּק	- the same as	  - '@src': H1228	  - '1228'	- ;	◊meaning:	- def: Bakbuk	- ', one of the Nethinim'	usage: Bakbuk.																																					
1228	n-m	bak-book'	baqbuq	heb	- בַּקְבֻּק	note: xlit baqbûk corrected to baqbuq		source:	- from	- w:	  - '@src': H1238	  - '1238'	- ;	◊meaning:	- a	- def: bottle	- (from the gurgling in emptying)	usage: bottle, cruse.																																
1229	n-pr-m	bak-book-yaw'	Baqbuqyâh	x-pn	- בַּקְבֻּקְיָה	note: xlit Baqbukyâh corrected to Baqbuqyâh		source:	- from	- w:	  - '@src': H1228	  - '1228'	- and	- w:	  - '@src': H3050	  - '3050'	- ; emptying (i.e. wasting) of Jah;	◊meaning:	- def: Bakbukjah	- ', an Israelite'	usage: Bakbukiah.																													
1230	n-pr-m	bak-bak-kar'	Baqbaqqar	x-pn	- בַּקְבַּקַּר	- reduplicated from	  - '@src': H1239	  - '1239'	- ; searcher;	◊meaning:	- def: Bakbakkar	- ', an Israelite'	usage: Bakbakkar.																																					
1231	n-pr-m	book-kee'	Buqqîy	x-pn	- בֻּקִּי	- from	  - '@src': H1238	  - '1238'	- ; wasteful;	◊meaning:	- def: Bukki	- ', the name of two Israelites'	usage: Bukki.																																					
1232	n-pr-m	book-kee-yaw'	Buqqîyâh	x-pn	- בֻּקִּיָּה	- from	  - '@src': H1238	  - '1238'	- and	- w:	  - '@src': H3050	  - '3050'	- ; wasting of Jah;	◊meaning:	- def: Bukkijah	- ', an Israelite'	usage: Bukkiah.																																	
1233	n-m	bek-ee'-ah	bᵉqîyaʻ	heb	- בְּקִיעַ	- from	  - '@src': H1234	  - '1234'	- ;	◊meaning:	- a	- def: fissure	usage: breach, cleft.																																					
1234	v	baw-kah'	bâqaʻ	heb	- בָּקַע	a primitive root;		◊meaning:	- to	- def: cleave	- ; generally, to	- def: rend	- ','	- def: break	- ','	- def: rip	- or	- def: open	usage: make a breach, break forth (into, out, in pieces, through, up), be ready	  to burst, cleave (asunder), cut out, divide, hatch, rend (asunder), rip up,	  tear, win.																													
1235	n-m	beh'-kah	beqaʻ	heb	- בֶּקַע	- from	  - '@src': H1234	  - '1234'	- ;	◊meaning:	- a	- def: section	- (half) of a shekel, i.e. a	- def: beka	- (a weight and a coin)	usage: bekah, half a shekel.																																		
1236	n-f	bik-aw'	biqʻâʼ	arc	- בִּקְעָא	- (Aramaic) corresponding to	  - '@src': H1237	  - '1237'	usage: plain.																																									
1237	n-f	bik-aw'	biqʻâh	heb	- בִּקְעָה	- from	  - '@src': H1234	  - '1234'	- ;	◊meaning:	- properly, a	- def: split	- ', i.e. a wide level valley between mountains'	usage: plain, valley.																																				
1238	v	baw-kah'	bâqaq	heb	- בָּקַק	a primitive root;		◊meaning:	- to	- def: pour	- out, i.e. to	- def: empty	- ', figuratively, to'	- def: depopulate	- ; by analogy, to	- def: spread	- out (as a fruitful vine)	usage: (make) empty (out), fail, × utterly, make void.																																
1239	v	baw-kar	bâqar	heb	- בָּקַר	a primitive root;		◊meaning:	- properly, to	- def: plough	- ', or (generally)'	- def: break	- forth, i.e. (figuratively) to	- def: inspect	- ','	- def: admire	- ','	- def: care for	- ','	- def: consider	usage: (make) inquire (-ry), (make) search, seek out.																													
1240	v	bek-ar'	bᵉqar	arc	- בְּקַר	- (Aramaic) corresponding to	  - '@src': H1239	  - '1239'	usage: inquire, make search.																																									
1241	n-m	baw-kawr'	bâqâr	heb	- בָּקָר	- from	  - '@src': H1239	  - '1239'	- ;	◊meaning:	- a	- def: beeve	- or an animal of the ox family of either gender (as used for	- def: plowing	- ); collectively, a	- def: herd	usage: beeve, bull (  -ock),   calf,   cow, great (cattle),   heifer, herd, kine,	  ox.																																
1242	n-m	bo'-ker	bôqer	heb	- בֹּקֶר	- from	  - '@src': H1239	  - '1239'	- ;	◊meaning:	- properly,	- def: dawn	- (as the break of day); generally,	- def: morning	usage: ( ) day, early, morning, morrow.																																			
1243	n-f	bak-kaw-raw'	baqqârâh	heb	- בַּקָּרָה	- intensive from	  - '@src': H1239	  - '1239'	- ;	◊meaning:	- a	- def: looking after	usage: seek out.																																					
1244	n-f	bik-ko-reth	biqqôreth	heb	- בִּקֹּרֶת	- from	  - '@src': H1239	  - '1239'	- ;	◊meaning:	- properly,	- def: examination	- ', i.e. (by implication)'	- def: punishment	usage: scourged.																																			
1245	v	baw-kash'	bâqash	heb	- בָּקַשׁ	a primitive root;		◊meaning:	- to	- def: search	- out (by any method, specifically in worship or prayer); by implication, to	- def: strive after	usage: ask, beg, beseech, desire, enquire, get, make inquisition, procure, (make)	  request, require, seek (for).																																				
1246	n-m	bak-kaw-shaw'	baqqâshâh	heb	- בַּקָּשָׁה	- from	  - '@src': H1245	  - '1245'	- ;	◊meaning:	- a	- def: petition	usage: request.																																					
1247	n-m	bar	bar	arc	- בַּר	- (Aramaic) corresponding to	  - '@src': H1121	  - '1121'	- ;	◊meaning:	- a	- def: son	- ','	- def: grandson	- ', etc.'	usage: × old, son.																																		
1248	n-m	bar	bar	heb	- בַּר	- borrowed (as a title) from	  - '@src': H1247	  - '1247'	- ;	◊meaning:	- the	- def: heir	- (apparent to the throne)	usage: son.																																				
1249	a	bar	bar	heb	- בַּר	- from	  - '@src': H1305	  - '1305'	- (in its various senses);	◊meaning:	- def: beloved	- ; also	- def: pure	- ','	- def: empty	usage: choice, clean, clear, pure.																																		
1250	n-m	bawr	bâr	heb	- בָּר	- or	  - '@pron': bar	  - '@xlit': bar	  - בַּר	- ; from	- w:	  - '@src': H1305	  - '1305'	- (in the sense of winnowing);	◊meaning:	- def: grain	- of any kind (even while standing in the field); by extension	- def: the open country	usage: corn, wheat.																															
1251	n-m	bar	bar	arc	- בַּר	- (Aramaic) corresponding to	  - '@src': H1250	  - '1250'	- ;	◊meaning:	- a	- def: field	usage: field.																																					
1252	n-m	bore	bôr	heb	- בֹּר	- from	  - '@src': H1305	  - '1305'	- ;	◊meaning:	  def: purity	usage: cleanness, pureness.																																						
1253	n-m	bore	bôr	heb	- בֹּר	- the same as	  - '@src': H1252	  - '1252'	- ;	◊meaning:	- vegetable	- def: lye	- (from its	- def: cleansing	- ); used as a	- def: soap	- for washing, or a	- def: flux	- for metals	usage: × never so, purely.																														
1254	v	baw-raw'	bârâʼ	heb	- בָּרָא	a primitive root;		◊meaning:	- (absolutely) to	- def: create	- ; (qualified) to	- def: cut down	- (a wood),	- def: select	- ','	- def: feed	- (as formative processes)	usage: choose, create (creator), cut down, dispatch, do, make (fat).																																
1255	n-pr-m	ber-o-dak' bal-ad-awn'	Bᵉrôʼdak Balʼădân	x-pn	- בְּרֹאדַךְ בַּלְאֲדָן	- a variation of	  - '@src': H4757	  - '4757'	- ;	◊meaning:	- def: Berodak-Baladan	- ', a Babylonian king'	usage: Berodach-baladan.																																					
1256	n-pr-m	ber-aw-yaw'	Bᵉrâʼyâh	x-pn	- בְּרָאיָה	- from	  - '@src': H1254	  - '1254'	- and	- w:	  - '@src': H3050	  - '3050'	- ; Jah has created;	◊meaning:	- def: Berajah	- ', an Israelite'	usage: Beraiah.																																	
1257	n-m	bar-boor'	barbur	heb	- בַּרְבֻּר	- by reduplication from	  - '@src': H1250	  - '1250'	- ;	◊meaning:	- a	- def: fowl	- (as fattened on grain)	usage: fowl.																																				
1258	v	baw-rad'	bârad	heb	- בָּרַד	a primitive root,		◊meaning:	- to	- def: hail	usage: hail.																																							
1259	n-m	baw-rawd'	bârâd	heb	- בָּרָד	- from	  - '@src': H1258	  - '1258'	- ;	◊meaning:	  def: hail	usage: hail(stones).																																						
1260	n-pr-m n-pr-loc	beh'red	Bered	x-pn	- בֶּרֶד	- from	  - '@src': H1258	  - '1258'	- ; hail;	◊meaning:	- def: Bered	- ', the name of a place south of Palestine, also of an Israelite'	usage: Bered.																																					
1261	a	baw-rode'	bârôd	heb	- בָּרֹד	- from	  - '@src': H1258	  - '1258'	- ;	◊meaning:	- def: spotted	- (as if with hail)	usage: grisled.																																					
1262	v	baw-raw'	bârâh	heb	- בָּרָה	- a primitive root; to select; also (as denominative from	  - '@src': H1250	  - '1250'	- ) to feed; also (as equivalent to	- w:	  - '@src': H1305	  - '1305'	- ) to render clear (Ecclesiastes 3:18)	◊meaning:	- to	- def: select	- ; to	- def: feed	- ; to	- def: render clear	usage: choose, (cause to) eat, manifest, (give) meat.																													
1263	n-pr-m	baw-rook'	Bârûwk	x-pn	- בָּרוּךְ	- passive participle from	  - '@src': H1288	  - '1288'	- ; blessed;	◊meaning:	- def: Baruk	- ', the name of three Israelites'	usage: Baruch.																																					
1264	n-m	ber-ome'	bᵉrôwm	heb	- בְּרוֹם	probably of foreign origin;		◊meaning:	- def: damask	- (stuff of variegated thread)	usage: rich apparel.																																							
1265	n-m	ber-osh'	bᵉrôwsh	heb	- בְּרוֹשׁ	of uncertain derivation;		◊meaning:	- a	- def: cypress	- (?) tree; hence, a	- def: lance	- or a	- def: musical	- instrument (as made of that wood)	usage: fir (tree).																																		
1266	n-m	ber-oth'	bᵉrôwth	heb	- בְּרוֹת	note: lemma בֻּרוֹת first vowel, corrected to בְּרוֹת		source:	- a variation of	- w:	  - '@src': H1265	  - '1265'	- ;	◊meaning:	- the	- def: cypress	- (or some elastic tree)	usage: fir.																																
1267	n-f	baw-rooth	bârûwth	heb	- בָּרוּת	- from	  - '@src': H1262	  - '1262'	- ;	◊meaning:	  def: food	usage: meat.																																						
1268	n-pr-loc	bay-ro-thaw'	Bêrôwthâh	x-pn	- בֵּרוֹתָה	- or	  - '@pron': bayro-that'-ee	  - '@xlit': Bêrôthay	  - בֵּרֹתַי	- ; probably from	- w:	  - '@src': H1266	  - '1266'	- ; cypress or cypresslike;	◊meaning:	- def: Berothah	- or	- def: Berothai	- ', a place north of Palestine'	usage: Berothah, Berothai.																														
1269	n-pr-f	beer-zoth'	Birzôwth	x-pn	- בִּרְזוֹת	probably feminine plural from an unused root (apparently mean to pierce);		  holes;	◊meaning:	- def: Birzoth	- ', an Israelite'	usage: Birzavith (from the marg.).																																						
1270	n-m	bar-zel'	barzel	heb	- בַּרְזֶל	- perhaps from the root of	  - '@src': H1269	  - '1269'	- ;	◊meaning:	- def: iron	- (as cutting); by extension, an	- def: iron implement	usage: (ax) head, iron.																																				
1271	n-pr-m	bar-zil-lah'-ee	Barzillay	x-pn	- בַּרְזִלַּי	- from	  - '@src': H1270	  - '1270'	- ; iron-hearted;	◊meaning:	- def: Barzillai	- ', the name of three Israelites'	usage: Barzillai.																																					
1272	v	baw-rakh'	bârach	heb	- בָּרַח	a primitive root;		◊meaning:	- to	- def: bolt	- ', i.e. figuratively, to'	- def: flee	- suddenly	usage: chase (away); drive away, fain, flee (away), put to flight, make haste,	  reach, run away, shoot.																																			
1273	a	bar-khoo-mee'	Barchumîy	x-pn	- בַּרְחֻמִי	- by transposition for	  - '@src': H978	  - '978'	- ;	◊meaning:	- a	- def: Barchumite	- ', or native of Bachurim'	usage: Barhumite.																																				
1274	a	ber-ee'	bᵉrîy	heb	- בְּרִי	- from	  - '@src': H1262	  - '1262'	- ;	◊meaning:	  def: fat	usage: fat.																																						
1275	n-pr-m	bay-ree'	Bêrîy	x-pn	- בֵּרִי	- probably by contraction from	  - '@src': H882	  - '882'	- ;	◊meaning:	- def: Beri	- ', an Israelite'	usage: Beri.																																					
1276	a	bay-ree'	Bêrîy	heb	- בֵּרִי	of uncertain derivation;		◊meaning:	- (only in the plural and with the article) the	- def: Berites	- ', a place in Palestine'	usage: Berites.																																						
1277	a	baw-ree'	bârîyʼ	heb	- בָּרִיא	- from	  - '@src': H1254	  - '1254'	- (in the sense of	- w:	  - '@src': H1262	  - '1262'	- );	◊meaning:	- def: fatted	- or	- def: plump	usage: fat ((fleshed), -ter), fed, firm, plenteous, rank.																																
1278	n-f	ber-ee-aw'	bᵉrîyʼâh	heb	- בְּרִיאָה	- feminine from	  - '@src': H1254	  - '1254'	- ;	◊meaning:	- a	- def: creation	- ', i.e. a'	- def: novelty	usage: new thing.																																			
1279	n-f	beer-yaw'	biryâh	heb	- בִּרְיָה	- feminine from	  - '@src': H1262	  - '1262'	- ;	◊meaning:	  def: food	usage: meat.																																						
1280	n-m	ber-ee'-akh	bᵉrîyach	heb	- בְּרִיחַ	- from	  - '@src': H1272	  - '1272'	- ;	◊meaning:	- a	- def: bolt	usage: bar, fugitive.																																					
1281	n-m	baw-ree'-akh	bârîyach	heb	- בָּרִיחַ	- or	  - '@pron': baw-ree'-akh	  - '@xlit': bâriach	  - בָּרִחַ	- ; (shortened) from	- w:	  - '@src': H1272	  - '1272'	- ;	◊meaning:	- a	- def: fugitive	- ', i.e. the'	- def: serpent	- (as	- def: fleeing	- ), and the constellation by that name	usage: crooked, noble, piercing.																											
1282	n-pr-m	baw-ree'-akh	Bârîyach	x-pn	- בָּרִיחַ	- the same as	  - '@src': H1281	  - '1281'	- ;	◊meaning:	- def: Bariach	- ', an Israelite'	usage: Bariah.																																					
1283	n-pr-m	ber-ee'-aw	Bᵉrîyʻâh	x-pn	- בְּרִיעָה	- apparently from the feminine of	  - '@src': H7451	  - '7451'	- with a prepositional prefix;	- def: in trouble	- ;	◊meaning:	- def: Beriah	- ', the name of four Israelites'	usage: Beriah.																																			
1284	a	ber-ee-ee'	Bᵉrîyʻîy	x-pn	- בְּרִיעִי	- patronymically from	  - '@src': H1283	  - '1283'	- ;	◊meaning:	- a	- def: Beriite	- (collectively) or descendants of Beriah	usage: Beerites.																																				
1285	n-f	ber-eeth'	bᵉrîyth	heb	- בְּרִית	- from	  - '@src': H1262	  - '1262'	- (in the sense of cutting [like	- w:	  - '@src': H1254	  - '1254'	- ']);'	◊meaning:	- a	- def: compact	- (because made by passing between pieces of flesh)	usage: confederacy, (con-) feder(-ate), covenant, league.																																
1286	n-pr-m	ber-eeth'	Bᵉrîyth	x-pn	- בְּרִית	- the same as	  - '@src': H1285	  - '1285'	- ;	◊meaning:	- def: Berith	- ', a Shechemitish deity'	usage: Berith.																																					
1287	n-f	bo-reeth'	bôrîyth	heb	- בֹּרִית	- feminine of	  - '@src': H1253	  - '1253'	- ;	◊meaning:	  def: vegetable alkali	usage: sope.																																						
1288	v	baw-rak'	bârak	heb	- בָּרַךְ	a primitive root;		◊meaning:	- to	- def: kneel	- ; by implication to	- def: bless	- God (as an act of adoration), and (vice-versa) man (as a benefit); also (by	  euphemism) to	- def: curse	- (God or the king, as treason)	usage: × abundantly, × altogether, × at all, blaspheme, bless, congratulate, curse,	  × greatly, × indeed, kneel (down), praise, salute, × still, thank.																																
1289	v	ber-ak'	bᵉrak	arc	- בְּרַךְ	- (Aramaic) corresponding to	  - '@src': H1288	  - '1288'	usage: bless, kneel.																																									
1290	n-f	beh'-rek	berek	heb	- בֶּרֶךְ	- from	  - '@src': H1288	  - '1288'	- ;	◊meaning:	- a	- def: knee	usage: knee.																																					
1291	n-f	beh'-rek	berek	arc	- בֶּרֶךְ	- (Aramaic) corresponding to	  - '@src': H1290	  - '1290'	usage: knee.																																									
1292	n-pr-m	baw-rak-ale'	Bârakʼêl	x-pn	- בָּרַכְאֵל	- from	  - '@src': H1288	  - '1288'	- and	- w:	  - '@src': H410	  - '410'	- ', God has blessed;'	◊meaning:	- def: Barakel	- ', the father of one of Job''s friends'	usage: Barachel.																																	
1293	n-f	ber-aw-kaw'	Bᵉrâkâh	heb	- בְּרָכָה	- from	  - '@src': H1288	  - '1288'	- ;	◊meaning:	- def: benediction	- ; by implication	- def: prosperity	usage: blessing, liberal, pool, present.																																				
1294	n-pr-m n-pr-loc	ber-aw-kaw'	Bᵉrâkâh	x-pn	- בְּרָכָה	- the same as	  - '@src': H1293	  - '1293'	- ;	◊meaning:	- def: Berakah	- ', the name of an Israelite, and also of a valley in Palestine'	usage: Berachah.																																					
1295	n-f	ber-ay-kaw'	bᵉrêkâh	heb	- בְּרֵכָה	- from	  - '@src': H1288	  - '1288'	- ;	◊meaning:	- a	- def: reservoir	- (at which camels	- def: kneel	- as a resting-place)	usage: (fish-) pool.																																		
1296	n-pr-m	beh-rek-yaw'	Berekyâh	x-pn	- בֶּרֶכְיָה	- or	  - '@pron': beh-rek-yaw'-hoo	  - '@xlit': Berekyâhûw	  - בֶּרֶכְיָהוּ	- ; from	- w:	  - '@src': H1290	  - '1290'	- and	- w:	  - '@src': H3050	  - '3050'	- ; knee (i.e. blessing) of Jah;	◊meaning:	- def: Berekjah	- ', the name of six Israelites'	usage: Berachiah, Berechiah.																												
1297	adv	ber-am'	bᵉram	arc	- בְּרַם	- (Aramaic) perhaps from	  - '@src': H7313	  - '7313'	- with a prepositional prefix;	◊meaning:	- properly,	- def: highly	- ', i.e.'	- def: surely	- ; but used adversatively,	- def: however	usage: but, nevertheless, yet.																																	
1298	n-pr-m	beh'-rah	Beraʻ	x-pn	- בֶּרַע	of uncertain derivation;		◊meaning:	- def: Bera	- ', a Sodomitish king'	usage: Bera.																																							
1299	v	baw-rak'	bâraq	heb	- בָּרַק	a primitive root;		◊meaning:	- def: to lighten	- (lightning)	usage: cast forth.																																							
1300	n-m	baw-rawk'	bârâq	heb	- בָּרָק	- from	  - '@src': H1299	  - '1299'	- ;	◊meaning:	- def: lightning	- ; by analogy, a	- def: gleam	- ; concretely, a	- def: flashing sword	usage: bright, glitter(-ing sword), lightning.																																		
1301	n-pr-m	baw-rawk'	Bârâq	x-pn	- בָּרָק	- the same as	  - '@src': H1300	  - '1300'	- ;	◊meaning:	- def: Barak	- ', an Israelite'	usage: Barak.																																					
1302	n-pr-m	bar-kose'	Barqôwç	x-pn	- בַּרְקוֹס	of uncertain derivation;		◊meaning:	- def: Barkos	- ', one of the Nethimim'	usage: Barkos.																																							
1303	n-m	bar-kwan'	barqân	heb	- בַּרְקָן	- from	  - '@src': H1300	  - '1300'	- ;	◊meaning:	- a	- def: thorn	- (perhaps as burning brightly)	usage: brier.																																				
1304	n-f	baw-reh'-keth	bâreqeth	heb	- בָּרֶקֶת	note: lemma בָּרְקַת variant form, corrected to בָּרֶקֶת		source:	- or	- w:	  - '@pron': baw-rekath'	  - '@xlit': bârᵉqath	  - בָּרְקַת	- note: xlit bârᵉkath corrected to bârᵉqath	- ; from	- w:	  - '@src': H1300	  - '1300'	- ;	◊meaning:	- a gem (as	- def: flashing	- ), perhaps the	- def: emerald	usage: carbuncle.																									
1305	v	baw-rar'	bârar	heb	- בָּרַר	a primitive root;		◊meaning:	- to	- def: clarify	- (i.e.	- def: brighten	- ),	- def: examine	- ','	- def: select	usage: make bright, choice, chosen, cleanse (be clean), clearly, polished, (shew	  self) pure(-ify), purge (out).																																
1306	n-pr-m	beer-shah'	Birshaʻ	x-pn	- בִּרְשַׁע	- probably from	  - '@src': H7562	  - '7562'	- with a prepositional prefix; with wickedness;	◊meaning:	- def: Birsha	- ', a king of Gomorrah'	usage: Birsha.																																					
1307	a	bay-ro-thee'	Bêrôthîy	x-pn	- בֵּרֹתִי	- patrial from	  - '@src': H1268	  - '1268'	- ;	◊meaning:	- a	- def: Berothite	- ', or inhabitant of Berothai'	usage: Berothite.																																				
1308	n	bes-ore'	Bᵉsôwr	x-pn	- בְּשׂוֹר	- from	  - '@src': H1319	  - '1319'	- ; cheerful;	◊meaning:	- def: Besor	- ', a stream of Palestine'	usage: Besor.																																					
1309	n-f	bes-o-raw'	bᵉsôwrâh	heb	- בְּשׂוֹרָה	- or (shortened)	  - '@pron': bes-o-raw'	  - '@xlit': bᵉsôrâh	  - בְּשֹׂרָה	- ; feminine from	- w:	  - '@src': H1319	  - '1319'	- ;	◊meaning:	- def: glad tidings	- ; by implication,	- def: reward for good news	usage: reward for tidings.																															
1310	v	baw-shal'	bâshal	heb	- בָּשַׁל	a primitive root;		◊meaning:	- properly, to	- def: boil	- up; hence, to	- def: be done	- in cooking; figuratively to	- def: ripen	usage: bake, boil, bring forth, roast, seethe, sod (be sodden).																																			
1311	a	baw-shale'	bâshêl	heb	- בָּשֵׁל	- from	  - '@src': H1310	  - '1310'	- ;	◊meaning:	  def: boiled	usage: × at all, sodden.																																						
1312	n-pr-m	bish-lawm'	Bishlâm	x-pn	- בִּשְׁלָם	of foreign derivation;		◊meaning:	- def: Bishlam	- ', a Persian'	usage: Bishlam.																																							
1313	n-m	baw-sawm'	bâsâm	heb	- בָּשָׂם	- from an unused root ◊meaning to be fragrant; (compare	  - '@src': H5561	  - '5561'	- )	◊meaning:	  def: the balsam plant	usage: spice.																																						
1314	n-m	beh'-sem	besem	heb	- בֶּשֶׂם	- or	  - '@pron': bo'-sem	  - '@xlit': bôsem	  - בֹּשֶׂם	- ; from the same as	- w:	  - '@src': H1313	  - '1313'	- ;	◊meaning:	- def: fragrance	- ; by implication,	- def: spicery	- ; also the	- def: balsam	- plant	usage: smell, spice, sweet (odour).																												
1315	n-pr-f	bos-math'	Bosmath	x-pn	- בׇּשְׂמַת	- feminine of	  - '@src': H1314	  - '1314'	- (the second form);	- def: fragrance	- ;	◊meaning:	- def: Bosmath	- ', the name of a wife of Esau, and of a daughter of Solomon'	usage: Bashemath, Basmath.																																			
1316	n-pr-loc	baw-shawn'	Bâshân	x-pn	- בָּשָׁן	of uncertain derivation;		◊meaning:	- def: Bashan	- (often with the article), a region East of the Jordan	usage: Bashan.																																							
1317	n-m	bosh-naw'	boshnâh	heb	- בׇּשְׁנָה	- feminine from	  - '@src': H954	  - '954'	- ;	◊meaning:	  def: shamefulness	usage: shame.																																						
1318	v	baw-shas'	bâshaç	heb	- בָּשַׁס	a primitive root;		◊meaning:	- to	- def: trample down	usage: tread.																																							
1319	v	baw-sar'	bâsar	heb	- בָּשַׂר	a primitive root;		◊meaning:	- properly, to	- def: be fresh	- ', i.e.'	- def: full	- (	- def: rosy	- ', figuratively'	- def: cheerful	- );	- def: to announce	- (glad news)	usage: messenger, preach, publish, shew forth, (bear, bring, carry, preach, good,	  tell good) tidings.																													
1320	n-m	baw-sawr'	bâsâr	heb	- בָּשָׂר	- from	  - '@src': H1319	  - '1319'	- ;	◊meaning:	- def: flesh	- (from its	- def: freshness	- ); by extension,	- def: body	- ','	- def: person	- ; also (by euphemistically) the	- def: pudenda	- of a man	usage: body, (fat, lean) flesh(-ed), kin, (man-) kind,   nakedness, self, skin.																													
1321	n-f	bes-ar'	bᵉshar	arc	- בְּשַׁר	- (Aramaic) corresponding to	  - '@src': H1320	  - '1320'	usage: flesh.																																									
1322	n-f	bo'-sheth	bôsheth	heb	- בֹּשֶׁת	- from	  - '@src': H954	  - '954'	- ;	◊meaning:	- def: shame	- (the feeling and the condition, as well as its cause); by implication (specifically)	  an	- def: idol	usage: ashamed, confusion,   greatly, (put to) shame(-ful thing).																																			
1323	n-f	bath	bath	heb	- בַּת	- from	  - '@src': H1129	  - '1129'	- (as feminine of	- w:	  - '@src': H1121	  - '1121'	- );	◊meaning:	- a	- def: daughter	- (used in the same wide sense as other terms of relationship, literally and figuratively)	usage: apple (of the eye), branch, company, daughter, × first, × old,   owl, town,	  village.																															
1324	n-m	bath	bath	heb	- בַּת	- probably from the same as	  - '@src': H1327	  - '1327'	- ;	◊meaning:	- a	- def: bath	- or Hebrew measure (as a means of	- def: division	- ) of liquids	usage: bath.																																		
1325	n-m	bath	bath	arc	- בַּת	- (Aramaic) corresponding to	  - '@src': H1324	  - '1324'	usage: bath.																																									
1326	n-f	baw-thaw'	bâthâh	heb	- בָּתָה	- probably an orthographical variation for	  - '@src': H1327	  - '1327'	- ;	◊meaning:	  def: desolation	usage: waste.																																						
1327	n-f	bat-taw'	battâh	heb	- בַּתָּה	- feminine from an unused root (◊meaning to	- in pieces);	◊meaning:	  def: desolation	usage: desolate.																																								
1328	n-pr-m n-pr-loc	beth-oo-ale'	Bᵉthûwʼêl	x-pn	- בְּתוּאֵל	- apparently from the same as	  - '@src': H1326	  - '1326'	- and	- w:	  - '@src': H410	  - '410'	- ; destroyed of God;	◊meaning:	- def: Bethuel	- ', the name of a nephew of Abraham, and of a place in Palestine'	usage:	- Bethuel. Compare	- w:	  - '@src': H1329	  - '1329'	- .																												
1329	n-pr-loc	beth-ool'	Bᵉthûwl	x-pn	- בְּתוּל	- for	  - '@src': H1328	  - '1328'	- ;	◊meaning:	- def: Bethul	- (i.e. Bethuel), a place in Palestine	usage: Bethuel.																																					
